# room	name	n_truth_corners	IoU	truth_xy	est_xy
# Regenerated from the 594-room run so the mosaic samples the WHOLE corpus.
64	7y3sRwLe3Va_4291cbfde1024467b1548934653f07ce	10	0.9460	4.1300,-3.8400 4.1300,0.0000 0.3900,0.0000 0.3900,3.3600 -0.4700,3.3600 -0.4700,0.1400 -3.2800,0.1400 -3.2800,-1.2800 -0.6300,-1.2800 -0.6300,-3.8400	-0.6100,-3.8300 2.7900,-3.8800 2.7900,-3.8000 4.1000,-3.8200 4.1600,-0.0200 0.7800,0.0400 0.7800,-0.1300 0.4700,-0.1200 0.4800,0.0400 0.3900,0.0500 0.4400,3.3400 -0.3300,3.3600 -0.3400,2.6300 -0.5100,2.6400 -0.5200,2.1300 -0.3200,2.1200 -0.3400,0.8600 -0.5400,0.8600 -0.5500,0.0600 -3.2700,0.1100 -3.2900,-1.1000 -0.5700,-1.1400
65	7y3sRwLe3Va_5c39473b25b74307858764d1a2045b9e	6	0.9750	9.5600,-1.1900 9.5600,0.6600 -0.0700,0.6600 -0.0700,2.6900 -2.1500,2.6900 -2.1500,-1.1900	-2.1500,-1.0100 -0.9600,-1.0200 -0.9600,-1.1900 -0.3500,-1.1900 -0.3400,-1.0100 0.5100,-1.0200 0.5100,-1.2000 9.5500,-1.2300 9.5600,0.6200 -0.0700,0.6600 -0.0600,2.6800 -2.1400,2.6900
66	7y3sRwLe3Va_6376b741b50a4418b3dc3fde791c3c09	6	0.9900	0.7000,-5.7800 0.7000,-4.0200 3.5900,-4.0200 3.5900,0.6800 -0.5900,0.6800 -0.5900,-5.7800	-0.5900,0.6800 -0.5700,-5.1700 -0.4400,-5.1700 -0.4400,-5.7800 0.7300,-5.7800 0.7200,-4.0200 3.6100,-4.0000 3.5800,0.7000
67	7y3sRwLe3Va_9b72664399a34e4f9dbe470571c73187	6	0.9390	0.7400,-4.0600 0.7400,2.7800 -0.5200,2.7800 -0.5200,0.1700 -3.7600,0.1700 -3.7600,-4.0600	-3.5700,-4.0900 -2.4400,-4.0500 -2.4300,-4.1800 0.7900,-4.0500 0.7000,-1.8500 0.8400,-1.8500 0.6500,2.8000 -0.6200,2.7400 -0.5100,0.1300 -3.7400,-0.0000
68	7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e	6	0.9850	1.4700,-3.5200 1.4700,0.6800 -5.6600,0.6800 -5.6600,-0.6600 -3.3000,-0.6600 -3.3000,-3.5200	-3.3000,-3.5100 1.4700,-3.5200 1.4800,0.6800 -3.2800,0.6900 -3.2800,0.6100 -5.6600,0.6100 -5.6600,-0.6500 -3.3000,-0.6500
69	7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f	8	0.9880	-0.8000,-1.4100 -0.8000,-0.9100 0.8700,-0.9100 0.8700,-1.4100 2.4900,-1.4100 2.4900,4.6300 -2.4000,4.6300 -2.4000,-1.4100	-2.4100,4.6500 -2.3900,-1.3800 -0.8100,-1.3800 -0.8100,-0.8800 0.8700,-0.8800 0.8700,-1.3800 2.4900,-1.3800 2.4800,4.6600
70	7y3sRwLe3Va_af5f1942b4374015823bd32e31b31c64	6	0.9810	4.3600,-1.0000 4.3600,3.0900 0.7400,3.0900 0.7400,0.6800 -5.0800,0.6800 -5.0800,-1.0000	-5.0800,-1.0200 4.3600,-0.9900 4.3400,3.1000 0.7300,3.0900 0.7300,0.6800 -5.0900,0.6600
71	7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e	6	0.9790	3.2900,-4.4300 3.2900,0.6500 -6.4700,0.6500 -6.4700,-0.8100 -2.2500,-0.8100 -2.2500,-4.4300	-2.2500,-4.4500 3.3000,-4.4400 3.2900,0.6500 -6.3700,0.6300 -6.3600,-0.8400 -2.2500,-0.8300
72	7y3sRwLe3Va_dd83fb40a2e14ac99de9fe9bcfaf44df	6	0.9730	4.7100,-1.5000 4.7100,-0.0900 0.8400,-0.0900 0.8400,4.7900 -0.5600,4.7900 -0.5600,-1.5000	-0.5900,4.7800 -0.5600,-1.5100 4.7100,-1.4800 4.7100,-0.0800 0.8400,-0.1000 0.8100,4.7900
73	8WUmhLawc2A_52be196a34fd415fa984b16aa270481c	6	0.9870	0.7400,-0.7400 0.7400,3.1200 -3.8400,3.1200 -3.8400,-0.2500 -2.0800,-0.2500 -2.0800,-0.7400	-3.8600,-0.2200 -2.0900,-0.2300 -2.0900,-0.7200 0.7200,-0.7400 0.7500,3.1100 -3.8300,3.1400
74	8WUmhLawc2A_74a12d0675b54d6193ba63104a6a8e2e	12	0.6540	0.0600,-2.4200 0.0600,-0.5900 6.9900,-0.5900 6.9900,0.6800 0.7200,0.6800 0.7200,1.3300 -0.5400,1.3300 -0.5400,-0.1700 -3.5800,-0.1700 -3.5800,-1.7600 -1.1000,-1.7600 -1.1000,-2.4200	-3.5700,-1.7800 -1.0800,-1.7300 -1.0700,-2.3800 0.0900,-2.3600 0.0700,-1.7100 7.0500,-1.5700 7.0200,0.0300 6.9800,0.0300 6.9600,0.8800 0.8700,0.7600 0.8900,-0.0900 0.6900,-0.0900 0.6600,1.4000 -0.6000,1.3800 -0.5700,-0.1200 -3.6000,-0.1800
75	8WUmhLawc2A_77b63a9f928e4dda898ab31c0569ec99	10	0.9820	-2.7400,-0.6000 1.0900,-0.6000 1.0900,0.0300 2.8900,0.0300 2.8900,0.6000 8.2000,0.6000 8.2000,4.2800 -0.6700,4.2800 -0.6700,0.6200 -2.7400,0.6200	-2.7500,-0.5900 1.0800,-0.6000 1.0900,0.0400 2.8900,0.0300 2.8900,0.7200 8.2000,0.7100 8.2000,4.2600 4.7100,4.2700 4.7100,4.1100 4.2800,4.1100 4.2800,4.2700 -0.6600,4.2800 -0.6700,0.6200 -2.7500,0.6200
76	8WUmhLawc2A_aaab09df2ec34ea584e93e42ad0cf8e4	6	0.9940	0.6700,-2.2500 0.6700,2.4200 -0.6600,2.4200 -0.6600,1.7700 -2.6500,1.7700 -2.6500,-2.2500	-2.6300,1.7900 -2.6500,-2.2300 0.6600,-2.2400 0.6800,2.4200 -0.6500,2.4300 -0.6500,1.7800
77	8WUmhLawc2A_c2af9032cf534313842c59dc39bba4da	6	0.9950	3.4900,-2.4800 3.4900,0.7200 -0.8600,0.7200 -0.8600,-0.7700 -0.2400,-0.7700 -0.2400,-2.4800	-0.2600,-2.4700 3.4800,-2.4700 3.4800,0.7300 -0.8800,0.7300 -0.8800,-0.7600 -0.2600,-0.7600
78	8WUmhLawc2A_ecf4e1fb7421476e9988c8823a311171	10	0.9750	0.5000,-1.8600 0.5000,1.9400 1.4900,1.9400 1.4900,3.1500 -1.2200,3.1500 -1.2200,2.6100 -3.2600,2.6100 -3.2600,2.0900 -8.4400,2.0900 -8.4400,-1.8600	-8.4300,-1.7300 -8.0000,-1.7200 -7.9900,-1.8900 -0.4500,-1.8200 -0.4500,-1.6500 -0.1000,-1.6400 -0.1000,-1.6500 0.5000,-1.6400 0.4700,1.9900 1.4600,2.0000 1.4500,3.2100 0.2400,3.1900 0.2500,2.9900 -0.1700,2.9900 -0.1700,3.1900 -1.2600,3.1800 -1.2500,2.1200 -1.4000,2.1200 -1.4100,2.6400 -3.2900,2.6200 -3.2900,2.1000 -8.4700,2.0600
79	ARNzJeq3xxb_20db218ae92c46e6899cd3c0bb1c8d65	8	0.9940	1.4600,-1.2600 1.4600,5.3800 -1.1000,5.3800 -1.1000,7.9100 -4.5300,7.9100 -4.5300,-0.4000 -0.7200,-0.4000 -0.7200,-1.2600	-0.7300,-1.2800 1.4500,-1.2900 1.4700,5.3500 -1.0900,5.3500 -1.0800,7.8900 -4.5100,7.9000 -4.5400,-0.4200 -0.7300,-0.4300
80	ARNzJeq3xxb_2e304220c00c4d41b9f687ed1f11c3ef	8	0.9970	0.6400,-4.3900 0.6400,-0.6800 1.3100,-0.6800 1.3100,1.4300 -4.0800,1.4300 -4.0800,-0.7000 -7.8400,-0.7000 -7.8400,-4.3900	-7.8400,-4.3900 0.6400,-4.4100 0.6500,-0.6900 1.3200,-0.6900 1.3300,1.4100 -4.0600,1.4200 -4.0700,-0.7000 -6.6600,-0.6900 -6.6600,-0.9000 -7.0800,-0.8900 -7.0800,-0.6900 -7.8300,-0.6900
81	ARNzJeq3xxb_4c75f4c69d39491b82569ac69e86b3da	6	0.9980	3.6600,-1.2800 3.6600,4.8500 -1.0200,4.8500 -1.0200,2.6400 -4.9800,2.6400 -4.9800,-1.2800	-4.9700,-1.2700 3.6700,-1.2800 3.6800,4.8500 -1.0100,4.8500 -1.0100,2.6500 -4.5300,2.6500 -4.5300,2.4600 -4.9700,2.4600
82	ARNzJeq3xxb_84ddee2c46b4416fa47c5e55599911e3	8	0.9920	1.4700,-0.8400 1.4700,0.7400 0.0600,0.7400 0.0600,2.7500 -3.8500,2.7500 -3.8500,0.1900 -8.7500,0.1900 -8.7500,-0.8400	-8.7600,-0.8200 1.4700,-0.8500 1.4700,0.7300 0.0600,0.7300 0.0600,2.7500 -3.8500,2.7600 -3.8600,0.2000 -8.7600,0.2100
83	ARNzJeq3xxb_8ed2cc9e75f84c42b59b5687e234e98c	6	0.9780	3.6600,-0.7100 3.6600,2.9900 -0.3100,2.9900 -0.3100,0.3600 -5.3500,0.3600 -5.3500,-0.7100	-5.3500,-0.6800 -4.2000,-0.6900 -4.2000,-0.5200 -3.6900,-0.5200 -3.6900,-0.5200 -3.2400,-0.5200 -3.2400,-0.5200 -2.7500,-0.5200 -2.7500,-0.6900 3.6600,-0.7100 3.6700,2.9800 -0.3000,2.9900 -0.3100,0.3600 -5.3400,0.3800
84	ARNzJeq3xxb_908ace599b044f259ce175291d9fa29c	6	0.9900	5.8300,-0.5500 5.8300,6.2400 1.0500,6.2400 1.0500,3.2200 -2.9300,3.2200 -2.9300,-0.5500	-2.9300,-0.5700 5.8300,-0.5300 5.8000,6.2600 1.0300,6.2400 1.0300,6.0200 1.1900,6.0200 1.2000,5.6300 1.0300,5.6300 1.0400,3.2200 -2.9500,3.2000
85	ARNzJeq3xxb_9a671e6915de4eb897f45fee8bf2031d	8	0.9870	1.2000,-0.6800 1.2000,3.6600 0.5300,3.6600 0.5300,6.1800 -0.4300,6.1800 -0.4300,3.8600 -2.3000,3.8600 -2.3000,-0.6800	-2.3000,-0.6900 1.1900,-0.6800 1.1900,3.6700 0.6400,3.6700 0.6400,3.7800 0.5200,3.7800 0.5200,6.1800 -0.4600,6.1800 -0.4600,3.8700 -2.3100,3.8600
86	ARNzJeq3xxb_d4e359d5addc4f4d94e253fa0b7253d1	6	0.9770	3.6300,-0.7500 3.6300,3.1000 -0.3700,3.1000 -0.3700,0.3700 -7.6100,0.3700 -7.6100,-0.7500	-7.6100,-0.7200 3.6300,-0.7500 3.6400,3.1000 -0.3700,3.1100 -0.3700,0.3900 -7.6000,0.4100
87	ARNzJeq3xxb_e98ec3731cd94927a32fa5ef8f309a23	6	0.9820	7.0800,-0.6100 7.0800,5.9800 1.4200,5.9800 1.4200,3.1500 -2.5700,3.1500 -2.5700,-0.6100	-2.6000,-0.5400 7.0500,-0.6500 7.1200,5.4700 6.9600,5.4700 6.9700,5.9400 5.7500,5.9500 5.7500,5.7900 4.8600,5.7900 4.8600,5.9600 1.4700,6.0000 1.4400,3.1700 -2.5600,3.2200
88	ARNzJeq3xxb_ffbe14a1bab6497abb439dfcc3cfd11e	6	0.9960	3.9200,-3.2000 3.9200,3.0600 -0.9100,3.0600 -0.9100,0.7900 -5.3400,0.7900 -5.3400,-3.2000	-5.3300,-3.2000 3.9200,-3.1900 3.9100,3.0700 -0.9200,3.0600 -0.9200,0.7900 -5.3400,0.7800
89	B6ByNegPMKs_0f8e559bf8d4427ba275e63aba46e3e5	6	1.0000	1.8800,-3.6000 1.8800,0.1600 3.5500,0.1600 3.5500,1.3400 -3.1300,1.3400 -3.1300,-3.6000	-3.1300,-3.6000 1.8700,-3.6000 1.8700,0.1500 3.5500,0.1500 3.5500,1.3300 -3.1300,1.3400
90	B6ByNegPMKs_c946db5792df4f90bea20f06a0030c37	6	0.9940	3.1800,-0.7300 3.1800,3.9900 1.6700,3.9900 1.6700,0.7500 -8.3900,0.7500 -8.3900,-0.7300	-8.3900,-0.7400 3.1800,-0.7200 3.1700,4.0000 1.6700,4.0000 1.6800,0.7600 -8.3900,0.7400
91	B6ByNegPMKs_d19d2ae4bddf4445a3c623edc0346937	8	0.9730	0.0400,-7.1100 0.0400,-1.2400 8.9900,-1.2400 8.9900,0.7400 -8.3500,0.7400 -8.3500,-1.3000 -1.6900,-1.3000 -1.6900,-7.1100	-1.6400,-7.1200 0.0800,-7.1100 0.0400,-1.2600 6.9300,-1.2100 6.9300,-1.0400 7.4900,-1.0400 7.4900,-1.1300 9.0000,-1.1200 8.9900,0.8000 -8.3600,0.6800 -8.3400,-1.3200 -1.6800,-1.2700
92	B6ByNegPMKs_d2dcbd73533446dcaf50e6be98c30386	10	0.9010	1.4200,-14.5000 1.4200,14.3300 0.0100,14.3300 0.0100,0.7900 -3.7000,0.7900 -3.7000,-1.7000 -0.4100,-1.7000 -0.4100,-0.6200 0.0200,-0.6200 0.0200,-14.5000	0.0900,-14.5000 1.5000,-14.4900 1.3500,11.5200 1.6800,11.5200 1.6700,14.3000 1.3300,14.3000 1.3300,14.3400 -0.0800,14.3300 -0.0800,14.2900 -0.4200,14.2900 -0.4100,12.0500 -0.0700,12.0500 -0.0700,12.0100 -0.3600,12.0100 -0.3300,6.8200 -0.0300,6.8200 0.0000,0.8000 -3.7100,0.7700 -3.7000,-1.7200 -0.4100,-1.7000 -0.4200,-0.6200 0.0100,-0.6100
93	EDJbREhghzL_0e51c17b16974fe3ac943e17686c4842	8	0.9810	6.0400,-1.6000 6.0400,3.0100 0.3400,3.0100 0.3400,0.4400 -1.4400,0.4400 -1.4400,-0.6000 0.4700,-0.6000 0.4700,-1.6000	6.0500,-1.5900 6.0400,2.9500 4.8000,2.9500 4.8000,3.0200 0.3900,3.0200 0.3900,0.4700 -1.4500,0.4700 -1.4400,-0.5900 -1.4000,-0.5900 -1.4000,-0.4300 -0.3500,-0.4300 -0.3500,-0.4300 0.0600,-0.4300 0.0600,-0.5900 0.3900,-0.5900 0.3900,-1.5900
94	EDJbREhghzL_b20fb75f6c3a4ea08a6f6f8ac7780b8d	6	0.9900	6.7200,-0.4000 6.7200,5.3000 4.7800,5.3000 4.7800,6.5600 -2.2500,6.5600 -2.2500,-0.4000	-2.2700,-0.3800 -1.5100,-0.3800 -1.5100,-0.2200 -1.0200,-0.2200 -1.0200,-0.3900 6.7000,-0.4300 6.7300,5.2800 4.7900,5.3000 4.8000,6.5400 -1.4200,6.5800 -1.4200,6.4700 -2.2300,6.4700
95	EDJbREhghzL_fe9c9d20c3ac4666a01dd87ea2fad630	6	0.9770	1.3700,-2.6800 1.3700,-0.7100 1.8600,-0.7100 1.8600,1.5100 -1.7600,1.5100 -1.7600,-2.6800	-1.7500,-2.6600 1.3800,-2.7000 1.4000,-0.7300 1.8800,-0.7400 1.9000,1.4900 -1.7100,1.5300
96	JF19kD82Mey_0672a86275c14b148e8618ecde714e06	6	1.0000	2.8900,-0.5900 2.8900,0.4600 0.7300,0.4600 0.7300,5.8700 -3.3800,5.8700 -3.3800,-0.5900	-3.3900,-0.5900 2.8800,-0.5900 2.8800,0.4600 0.7300,0.4600 0.7200,5.8700 -3.3900,5.8700
97	JmbYfDe2QKZ_ce06069f651f49d19d05fde4a7e231b5	6	0.9870	4.4800,-1.9200 4.4800,6.3300 -0.3900,6.3300 -0.3900,2.6700 -2.0400,2.6700 -2.0400,-1.9200	-0.3600,6.3500 -0.3800,2.7000 -2.0300,2.7000 -2.0500,-1.8900 4.4700,-1.9300 4.4700,-1.5400 4.3000,-1.5400 4.3100,-1.1200 4.4700,-1.1200 4.5100,6.3300
98	JmbYfDe2QKZ_e3eeb7b8deed4a2fa0000daec3538b75	6	0.9950	3.5300,-3.7100 3.5300,1.7900 -0.9000,1.7900 -0.9000,0.4900 -1.6400,0.4900 -1.6400,-3.7100	-0.8900,1.8000 -0.9000,0.5000 -1.6300,0.5000 -1.6400,-3.7000 3.5300,-3.7200 3.5500,1.7800
99	JmbYfDe2QKZ_f5cf1375de4d46b38328dda8ebcd6ce0	6	1.0000	-0.1100,-3.8000 -0.1100,-0.5700 2.1100,-0.5700 2.1100,0.5700 -3.2200,0.5700 -3.2200,-3.8000	-3.2100,0.5800 -3.2300,-3.7800 -0.1200,-3.7900 -0.1100,-0.5700 2.1100,-0.5700 2.1100,0.5700
100	PX4nDJXEHrG_0bee565558544262b0368f2a92702677	8	0.9970	0.8700,-0.5200 0.8700,0.2800 4.0200,0.2800 4.0200,5.1300 -1.8000,5.1300 -1.8000,-0.9200 -0.0200,-0.9200 -0.0200,-0.5200	-1.7900,-0.9200 -0.0200,-0.9200 -0.0200,-0.5300 0.8800,-0.5300 0.8800,0.2800 4.0300,0.2800 4.0200,5.1400 -1.8000,5.1300
101	PX4nDJXEHrG_104c429382034f88a37f95c5888e3557	8	0.9940	2.6800,-0.9300 2.6800,-0.3400 3.4700,-0.3400 3.4700,-2.1200 7.7400,-2.1200 7.7400,3.4700 -1.8800,3.4700 -1.8800,-0.9300	3.4700,-2.1200 7.7400,-2.1100 7.7400,3.4700 -1.8800,3.4700 -1.8800,-0.8400 -0.3300,-0.8400 -0.3300,-0.8100 0.4500,-0.8100 0.4500,-0.7500 0.8500,-0.7500 0.8500,-0.9200 2.6900,-0.9200 2.6900,-0.3400 3.4300,-0.3400 3.4300,-0.9200 3.4700,-0.9200
102	PX4nDJXEHrG_13c30ac9dae6410fa1da3247fba2af76	8	0.9700	4.6100,-4.1500 4.6100,0.7800 3.8800,0.7800 3.8800,5.3700 0.1900,5.3700 0.1900,0.5700 -2.0300,0.5700 -2.0300,-4.1500	-1.9900,-4.2100 4.6400,-4.1100 4.5700,0.7000 3.8500,0.6900 3.7800,5.3900 0.3300,5.3400 0.3400,4.9900 0.3300,4.9900 0.3400,4.4800 0.1000,4.4700 0.1100,4.0600 0.2800,4.0700 0.2900,3.3700 0.2700,3.3700 0.2800,2.4800 0.3300,2.4800 0.3400,1.8500 0.1400,1.8400 0.1600,0.6300 -0.0200,0.6300 -0.0200,0.5300 -2.0600,0.5000
103	PX4nDJXEHrG_16aea59da05d408683abb0ecbea14077	8	0.9850	0.8400,-4.4900 0.8400,-1.9500 7.4200,-1.9500 7.4200,0.2900 0.9800,0.2900 0.9800,7.0300 -1.0500,7.0300 -1.0500,-4.4900	-1.0600,-4.4900 0.9500,-4.4900 0.9500,-1.9500 7.4100,-1.9600 7.4200,0.2800 0.9600,0.2900 0.9700,7.0300 -1.0500,7.0300
104	PX4nDJXEHrG_1d262441697444b0908ea10b5ce60a59	6	0.9960	5.3500,-2.0700 5.3500,2.2500 2.4600,2.2500 2.4600,3.9100 -0.4700,3.9100 -0.4700,-2.0700	-0.4800,-2.0700 5.3400,-2.0800 5.3500,2.2400 2.4700,2.2500 2.4700,3.9100 -0.4700,3.9100
105	PX4nDJXEHrG_201e139a7dba42d494a8290754252134	6	0.9940	2.9100,-1.5200 2.9100,1.4100 4.1900,1.4100 4.1900,4.3400 -1.2600,4.3400 -1.2600,-1.5200	-1.2600,4.3400 -1.2500,-1.5200 2.9200,-1.5100 2.9100,1.4200 4.1900,1.4300 4.1900,4.1900 3.7500,4.1900 3.7500,4.3500
106	PX4nDJXEHrG_20c06e17f2134fbab5d3e60b1d974645	6	0.9830	4.1700,-4.9600 4.1700,-1.9400 5.3600,-1.9400 5.3600,0.8700 -0.8500,0.8700 -0.8500,-4.9600	-0.8600,-4.9300 4.1600,-5.0000 4.2000,-1.9000 5.3900,-1.9100 5.4200,0.8200 -0.7900,0.9000
107	PX4nDJXEHrG_2449c88db38b45a78a4227382dfbd3e4	6	0.9850	3.5700,-0.7000 3.5700,2.5700 2.0700,2.5700 2.0700,4.2100 -0.8200,4.2100 -0.8200,-0.7000	-0.8500,4.2000 -0.8000,-0.7100 3.5800,-0.6700 3.5500,2.5900 2.0600,2.5800 2.0400,4.2200
108	PX4nDJXEHrG_24dbd843e0fe400baa0228c00158bb29	10	0.9980	2.1700,-5.4300 2.1700,-2.3000 6.8400,-2.3000 6.8400,1.3300 0.5700,1.3300 0.5700,3.5000 -0.9000,3.5000 -0.9000,-2.3100 0.5100,-2.3100 0.5100,-5.4300	0.5000,-5.4200 2.1600,-5.4300 2.1700,-2.3000 6.8400,-2.3000 6.8400,1.3200 0.5700,1.3300 0.5700,3.5000 -0.8900,3.5000 -0.9000,-2.3000 0.5000,-2.3000
109	PX4nDJXEHrG_280d28cd4c80476384046234022051f9	8	0.9930	5.0700,-0.7300 5.0700,1.0000 7.1900,1.0000 7.1900,2.5300 5.2500,2.5300 5.2500,5.5900 -1.0500,5.5900 -1.0500,-0.7300	-1.0600,-0.3300 -0.8800,-0.3300 -0.8800,-0.7300 5.0800,-0.7300 5.0800,0.8900 5.1700,0.8900 5.1700,0.9800 7.1900,0.9800 7.1900,2.5400 5.1700,2.5500 5.1800,5.5900 -1.0500,5.5900
110	PX4nDJXEHrG_2ba3d353cffb46eda191ea81569608f7	6	0.9870	-0.1900,-4.0000 -0.1900,-1.1100 0.8500,-1.1100 0.8500,1.8300 -5.2000,1.8300 -5.2000,-4.0000	-5.1900,1.8400 -5.2200,-3.5100 -5.0500,-3.5100 -5.0600,-3.9900 -0.2200,-4.0200 -0.2000,-1.1300 0.8400,-1.1300 0.8600,1.8000
111	PX4nDJXEHrG_31e2ead1db884aa0974a21674f83b488	6	0.9950	1.9700,-0.5000 1.9700,4.3000 4.5800,4.3000 4.5800,5.2300 -1.6000,5.2300 -1.6000,-0.5000	-1.6000,-0.5000 1.7900,-0.5000 1.7900,0.1900 1.9700,0.1900 1.9700,4.3000 4.5900,4.3000 4.5900,5.2400 -1.6000,5.2400
112	PX4nDJXEHrG_3389b852c9c84bbeb9855d46d3637a1d	6	0.9850	2.8500,-2.1900 2.8500,3.8700 -3.0900,3.8700 -3.0900,-1.1700 -0.1700,-1.1700 -0.1700,-2.1900	-3.1100,3.8400 -3.0900,-1.2000 -0.1700,-1.1900 -0.1700,-2.2000 2.8600,-2.1800 2.8300,3.8700
113	PX4nDJXEHrG_35538596d1564408a4d3ec39541feead	6	0.9730	4.3100,-0.7900 4.3100,2.2200 5.2200,2.2200 5.2200,4.9800 -0.7800,4.9800 -0.7800,-0.7900	-0.7100,5.0000 -0.7800,-0.7700 4.3100,-0.8400 4.3500,2.1700 5.2500,2.1600 5.2800,3.9900 5.1100,3.9900 5.1200,4.4500 5.2800,4.4500 5.2900,4.9200
114	PX4nDJXEHrG_3bb211c9aabb496c8c5474f242e71a4f	6	0.9860	3.5800,-1.6000 3.5800,1.5700 3.1100,1.5700 3.1100,2.9100 -0.7000,2.9100 -0.7000,-1.6000	-0.6900,-1.6200 3.5900,-1.5600 3.5500,1.6100 3.0800,1.6000 3.0600,2.9300 -0.7500,2.8800
115	PX4nDJXEHrG_40094a9ad3934b5cb69633e07e0bd6ab	6	0.9900	3.8600,-0.9100 3.8600,2.1000 5.2700,2.1000 5.2700,5.2800 -0.4800,5.2800 -0.4800,-0.9100	-0.4700,-0.9100 3.8700,-0.9100 3.8600,2.1600 5.2800,2.1600 5.2700,5.1200 4.8500,5.1200 4.8500,5.2900 -0.4800,5.2800
116	PX4nDJXEHrG_4f0a87d560244c2f926f2110e9dfc1e4	6	0.9920	2.5800,-1.5200 2.5800,1.3500 3.8300,1.3500 3.8300,4.5000 -2.4700,4.5000 -2.4700,-1.5200	-2.4800,-1.5100 2.5700,-1.5100 2.5700,1.3500 3.8300,1.3500 3.8300,2.9500 3.7400,2.9500 3.7400,4.5000 -2.4800,4.5000
117	PX4nDJXEHrG_53652351502d4b5dba01ad8f23be3443	6	0.9890	1.0700,-2.3100 1.0700,-0.7700 2.8100,-0.7700 2.8100,2.3700 -2.3400,2.3700 -2.3400,-2.3100	-2.3200,-2.3300 -1.8900,-2.3300 -1.8900,-2.1600 -1.4900,-2.1600 -1.4900,-2.3200 1.0900,-2.3100 1.0800,-0.7700 2.8200,-0.7600 2.8000,2.3900 -2.3500,2.3500
118	PX4nDJXEHrG_5ae31c91d7294d3087d9e257b3108083	6	0.9930	2.1000,-0.7700 2.1000,2.2300 0.3500,2.2300 0.3500,3.5100 -2.5900,3.5100 -2.5900,-0.7700	-2.5800,-0.7800 2.1100,-0.7600 2.0900,2.2500 0.3600,2.2400 0.3500,3.5100 -2.6000,3.5000
119	PX4nDJXEHrG_5e83ef2965d445d18d539afdda8b88e5	6	0.9900	1.2700,-2.7900 1.2700,0.2100 2.8700,0.2100 2.8700,3.0500 -2.9700,3.0500 -2.9700,-2.7900	-2.9500,3.0700 -3.0000,-2.7700 1.2500,-2.8100 1.2700,0.1900 2.8700,0.1700 2.8900,3.0200
120	PX4nDJXEHrG_5ebe5e4ed7384814bde7bdf5aad27e8f	6	1.0000	3.6000,-2.5600 3.6000,0.9700 1.9500,0.9700 1.9500,2.6200 -1.1500,2.6200 -1.1500,-2.5600	-1.1400,2.6200 -1.1500,-2.5700 3.6000,-2.5800 3.6100,0.9600 1.9600,0.9700 1.9600,2.6100
121	PX4nDJXEHrG_6846c7228e654e1c91373852dfcc2c6c	6	0.9860	1.2000,-2.5700 1.2000,-0.4400 2.9200,-0.4400 2.9200,1.6000 -5.7600,1.6000 -5.7600,-2.5700	-5.7600,-2.5700 1.1900,-2.5800 1.2000,-0.4600 2.2100,-0.4600 2.2100,-0.2900 2.9200,-0.2900 2.9200,1.5800 -5.7600,1.6000
122	PX4nDJXEHrG_6bd6fde111574af289492ba17859be83	6	0.9960	7.9400,-1.4400 7.9400,2.9200 0.8100,2.9200 0.8100,0.6500 -0.9700,0.6500 -0.9700,-1.4400	-0.9700,-1.4500 7.9400,-1.4400 7.9300,2.8500 6.0900,2.8500 6.0900,2.9300 0.8000,2.9200 0.8000,0.6500 -0.9800,0.6400
123	PX4nDJXEHrG_6e8e41636dc84e94af80d009663e7c75	6	1.0000	2.7800,-2.0300 2.7800,-0.8400 4.3900,-0.8400 4.3900,2.3800 -0.8100,2.3800 -0.8100,-2.0300	-0.8100,-2.0300 2.7800,-2.0300 2.7800,-0.8400 4.3900,-0.8400 4.4000,2.3700 -0.8100,2.3800
124	PX4nDJXEHrG_721eb57eb6c14bdd80a31060a0365ef8	6	0.9830	3.5200,-5.0400 3.5200,-2.0100 4.9500,-2.0100 4.9500,0.9200 -0.6700,0.9200 -0.6700,-5.0400	-0.7000,-4.6800 -0.2200,-4.6800 -0.2200,-4.8500 0.2400,-4.8500 0.2400,-5.0200 3.4900,-5.0500 3.5100,-2.0200 4.9500,-2.0300 4.9700,0.9000 -0.6500,0.9400
125	PX4nDJXEHrG_90ffb16e607e495b9c230de85201dac7	6	0.9930	4.0500,-5.3800 4.0500,0.7600 -5.6800,0.7600 -5.6800,-3.8500 -0.6900,-3.8500 -0.6900,-5.3800	-5.6800,-3.8300 -0.6900,-3.8400 -0.6900,-5.3700 2.7500,-5.3800 2.7500,-5.2600 3.5100,-5.2600 3.5000,-5.3800 3.6300,-5.3800 3.6300,-5.2000 4.0500,-5.2000 4.0600,0.7600 -5.6700,0.7700
126	PX4nDJXEHrG_a2131c9b8e674c3db73821fb924f1644	6	0.9900	3.8600,-2.7100 3.8600,1.3400 -3.4000,1.3400 -3.4000,-0.7900 -4.8700,-0.7900 -4.8700,-2.7100	-4.8700,-2.7000 3.8600,-2.7500 3.8800,1.3000 -3.3800,1.3500 -3.3900,-0.7900 -4.8600,-0.7800
